Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kapil Moreshwar Patil,411070,2062,46.9%,Bharatiya Janta Party
2,Patil Vishwanath Ramchandra,301620,2062,34.4%,Indian National Congress
3,Suresh (BALYA MAMA) GOPINATH MHATRE,93647,184,10.7%,Maharashtra Navnirman Sena
4,Ansari Mumtaz Abdul Satar,14068,91,1.6%,Bahujan Samaj Party
5,Madhukar Vitthal Patil,13720,91,1.6%,Communist Party Of India
6,Ansari Jalal Engineer,11055,91,1.3%,Aam Aadmi Party
7,Suresh Kaluram Jadhav,5941,83,0.7%,Independent
8,Harishchandra Dattu Patil,4058,83,0.5%,Independent
9,Yogesh Motiram Kathore,3058,83,0.3%,Bharipa Bahujan Mahasangh
10,Engineer Navid Betab,2435,83,0.3%,Independent
11,Ansari Jahid Mukhtar,2126,83,0.2%,Bahujan Mukti Party
12,Shah Abrar Ahmed Nazeer,2120,83,0.2%,Peace Party
13,Adv. Dr. Anita Balasaheb Kolekar,1376,83,0.2%,Prabuddha Republican Party
