Position,Candidate Name,Votes,MinSample,Votes %,Party
1,B. S. Yeddyurappa,606216,284,53.7%,Bharatiya Janta Party
2,Manjunath Bhandary,242911,284,21.5%,Indian National Congress
3,Geetha Shivarajkumar,240636,278,21.3%,Janata Dal (Secular)
4,K.G. Sreedhar,7542,69,0.7%,Aam Aadmi Party
5,Kunaje Manjunatha Gowda,5053,69,0.4%,Bahujan Samaj Party
6,B. Dharmappa,4537,69,0.4%,Janata Dal (United)
7,B.K. Shashi Kumar,3869,69,0.3%,Karunaadu Party
8,H. Suresha Poojari,2709,69,0.2%,Independent
9,S. Satish Salian,2234,69,0.2%,Independent
10,Shrilatha Shetty,2073,69,0.2%,Independent
11,Anil.M.R,1517,69,0.1%,Independent
12,Fayaz Ahamed Alias Mohamad Fayaz Ahamed,1339,69,0.1%,Sarva Janata Party
13,Mainuddin M.S.,1295,69,0.1%,Independent
