Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Bharatiben Dhirubhai Shiyal,549529,300,59.9%,Bharatiya Janta Party
2,Rathod Pravinbhai Jinabhai,254041,300,27.7%,Indian National Congress
3,Dr. Kanubhai V. Kalsaria,49540,81,5.4%,Aam Aadmi Party
4,Gita Chetan Paunda (ADVOCATE GITABA JADEJA),9345,60,1.0%,Bahujan Samaj Party
5,Vaghela Narendrabhai Shavjibhai,9113,60,1.0%,Independent
6,Vegad Nathabhai (VEGADBHAI PRAGNACHAKSHU CANDIDATE),7550,60,0.8%,Independent
7,Bhaves Ghanshyambhai Rajyaguru,5912,60,0.6%,Independent
8,Rathod Pravinsinh Chandrasinh,5530,60,0.6%,Independent
9,Kagada Rameshbhai Punabhai,3542,60,0.4%,Independent
10,Rasidkhan Hasankhan Pathan,2707,60,0.3%,Independent
11,Gohil Pravinsinh Dhirubha,2276,60,0.2%,Independent
12,Maru Manhar Valajibhai,2257,60,0.2%,Independent
13,Mehta Yashvantray Odhavjibhai,1852,60,0.2%,Independent
14,Gohel Bharatbhai Bhimabhai,1734,60,0.2%,Independent
15,Jagadishbhai Amarabhai Vegad,1525,60,0.2%,Independent
16,Khadrani Asimbhai Pirbhai,1359,60,0.1%,Independent
