Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Jual @ Juel Oram,340508,86000,33.7%,Bharatiya Janta Party
2,Dilip Kumar Tirkey,321679,86000,31.8%,Biju Janata Dal
3,Hemanand Biswal,269335,5800,26.6%,Indian National Congress
4,Justin Lugun,9472,200,0.9%,Socialist Unity Centre Of India (COMMUNIST)
5,Bagi Lakra,9460,200,0.9%,Bahujan Samaj Party
6,Lawrencia Lakra,9001,200,0.9%,Independent
7,Sagar Singh Manaki,8448,200,0.8%,Kosal Kranti Dal
8,Basil Ekka,7429,200,0.7%,Aam Aadmi Party
9,Mansid Ekka,7282,200,0.7%,Independent
10,Das Charan Majhi,4408,200,0.4%,Jharkhand Disom Party
11,Satish Kumar Minz,3951,200,0.4%,Independent
12,Lily Prema Kujur,3903,200,0.4%,Bahujan Mukti Party
