Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kamal Nath,559755,2943,50.5%,Indian National Congress
2,Choudhary Chandrabhan Kuber Singh,443218,2943,40.0%,Bharatiya Janta Party
3,Pardeshi Hartapshah Tirgam,25628,89,2.3%,Gondvana Gantantra Party
4,Sitaram Sareyam,12762,74,1.2%,Independent
5,Nitinkumar Sahu,12241,74,1.1%,Bahujan Samaj Party
6,Dhaniram Yaduvanshi,6601,74,0.6%,Independent
7,Mahesh Madhavlal Dubey,5696,74,0.5%,Aam Aadmi Party
8,Dwarka Prasad Pahade,3450,74,0.3%,Independent
9,Jalasram Nagwanshi,3117,74,0.3%,Independent
10,Ramesh Patil,2872,74,0.3%,Ambedkarite Party Of India
11,Arvind Dongre,2484,74,0.2%,Bahujan Mukti Party
12,Er. Kripa Shankar Yadav,2140,74,0.2%,Independent
13,Subhash Shukla,2035,74,0.2%,Samajwadi Party
