Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Hariom Singh Rathore,644794,182,65.7%,Bharatiya Janta Party
2,Gopal Singh Shekhawat,249089,182,25.4%,Indian National Congress
3,Neeru Ram Jat,14579,51,1.5%,Bahujan Samaj Party
4,Sanjay Choudhary,12479,51,1.3%,Independent
5,Idrish Mohammad,10407,51,1.1%,Jago Party
6,Surya Bhawani Singh Chawara,10160,51,1.0%,Independent
7,Bhanwar Lal Mali,6418,51,0.7%,Independent
8,Heera Kathat,5186,51,0.5%,Independent
9,Pradeep Singh Bhatnagar,4897,51,0.5%,Aam Aadmi Party
10,Gulam Farid,2977,51,0.3%,Samajwadi Party
11,Khimaram Salvi,2559,51,0.3%,Independent
12,Laxman,1392,51,0.1%,Jai Maha Bharath Party
