Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Patel Lalubhai Babubhai,46960,2800,53.8%,Bharatiya Janta Party
2,Ketan Dahyabhai Patel,37738,2800,43.3%,Indian National Congress
3,Kessur Goan,729,200,0.8%,Aam Aadmi Party
4,Bhavesh Patel,490,200,0.6%,Bahujan Samaj Party
