Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kundariya Mohanbhai Kalyanjibhai,621524,600,58.8%,Bharatiya Janta Party
2,Kunvarjibhai Mohanbhai Bavaliya,375096,600,35.5%,Indian National Congress
3,Jivanbhai Devajibhai Parmar,12653,200,1.2%,Bahujan Samaj Party
4,Ankur Amrutkumar Dhameliya(PATEL),10785,200,1.0%,Aam Aadmi Party
5,Vinodbhai Pragjibhai Nagani,5752,200,0.5%,Independent
6,Basirbhai Sulemanbhai Sama,2076,200,0.2%,Independent
7,Aniruddhsinh Juvansinh Zala,1636,200,0.2%,Independent
8,Pravinchandra Chunilal Parekh,1562,200,0.1%,Independent
9,Popatbhai Devajibhai Chavda (BHUVA),1408,200,0.1%,Independent
10,Rohitbhai Mohanbhai Sagathiya,1344,200,0.1%,Bahujan Mukti Party
11,Narendrabhai Mahajan,1161,200,0.1%,Independent
12,Pathan Bismillakhan Abdulkhan (BABAKHAN PATHAN),1080,200,0.1%,Independent
13,Jitendra Bhurabhai Chauhan,990,200,0.1%,Republican Party Of India (KHOBRAGADE)
14,Dengada Pravinbhai Meghajibhai,945,200,0.1%,Republican Party Of India (A)
15,Rajeshbhai Lavjibhai Pipalva,808,200,0.1%,Loktantrik Rashrtavadi Party
