Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Yashwant Singh,367825,3196,39.0%,Bharatiya Janta Party
2,Yashvir Singh,275435,3196,29.2%,Samajwadi Party
3,Girish Chandra,245685,1758,26.1%,Bahujan Samaj Party
4,Sheeshram Singh Ravi,21334,125,2.3%,Peace Party
5,Bhagwan Dass Rathor,4581,105,0.5%,Mahan Dal
6,Sunil,4328,105,0.5%,Independent
7,Sarika,3695,105,0.4%,Aam Aadmi Party
8,Shamsher,3577,105,0.4%,Independent
9,Omprakash Ravi,2967,105,0.3%,Shiv Sena
10,Tej Singh,1845,105,0.2%,Ambedkar Samaj Party
11,Asarpat Singh,1714,105,0.2%,Independent
12,Manju Devi,1027,105,0.1%,Lok Dal
13,Sharishtha Kumar Singh,861,105,0.1%,Jai Maha Bharath Party
14,Vinod Kumar,852,105,0.1%,Bahujan Mukti Party
