Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Manohar Untwal,665646,614,58.2%,Bharatiya Janta Party
2,Sajjan Singh Verma,405333,614,35.4%,Indian National Congress
3,Gokul Prasad Dongare,17238,69,1.5%,Bahujan Samaj Party
4,Kamal Singh Chouhan,16376,62,1.4%,Prajatantrik Samadhan Party
5,Sajan Singh,10113,62,0.9%,Independent
6,Radheshyam Malviya,4862,62,0.4%,Independent
7,Hemraj Singh Bamniya,4657,62,0.4%,Bahujan Sangharshh Dal
8,Sujeet Sangte,4216,62,0.4%,Aam Aadmi Party
9,Manohar Ahiriya,2763,62,0.2%,Independent
10,Soudan Singh Dalmiya,1509,62,0.1%,Bahujan Mukti Party
11,Sobhal Singh Sisodiya,1002,62,0.1%,Samata Samadhan Party
