Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Bhola Singh,428227,11000,39.7%,Bharatiya Janta Party
2,Md. Tanveer Hassan,369892,11000,34.3%,Rashtriya Janata Dal
3,Rajendra Prasad Singh,192639,600,17.9%,Communist Party Of India
4,Vaij Nath Paswan,12143,200,1.1%,Independent
5,Sushil Kumar,11144,200,1.0%,Independent
6,Ram Padarath Yadav,9014,200,0.8%,Bahujan Samaj Party
7,Sunil Kumar,8639,200,0.8%,Aam Aadmi Party
8,Pinki Devi,4858,200,0.5%,Bahujan Mukti Party
9,Rajendra Yadav,4605,200,0.4%,Independent
10,Mohammad Javed,3405,200,0.3%,Independent
11,Hari Kant Prasad,3344,200,0.3%,Bharatiya Bahujan Congress
12,Pankaj Paswan,3323,200,0.3%,Independent
