Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kadiyam Srihari,661639,262,56.3%,Telangana Rashtra Samithi
2,Rajaiah Siricilla,269065,262,22.9%,Indian National Congress
3,Parameshwar Ramagalla,187139,167,15.9%,Bharatiya Janta Party
4,Gannarapu Surender,9536,65,0.8%,Bahujan Samaj Party
5,Chiluveru Prathap,9178,65,0.8%,Independent
6,Thuppari Narasimha Swamy,7350,65,0.6%,Pyramid Party Of India
7,Chintha Swamy,5569,65,0.5%,Aam Aadmi Party
8,Jannu Mahendar,3211,65,0.3%,Independent
9,Venkanna Kannam,2258,65,0.2%,Marxist Communist Party Of India (United)
10,Venkanna Neerudu,2098,65,0.2%,Bahujan Mukti Party
11,Kanakam Ramesh,2013,65,0.2%,Independent
12,Venu Esampelly,1541,65,0.1%,All India Forward Bloc
