Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Sanjay Jaiswal,371232,1827,43.4%,Bharatiya Janta Party
2,Prakash Jha,260978,1827,30.5%,Janata Dal (United)
3,Raghunath Jha,121800,291,14.2%,Rashtriya Janata Dal
4,Prabhu Raj Narain Rao,17157,109,2.0%,Communist Party Of India (MARXIST)
5,Syed Shamim Akhtar,12415,100,1.5%,Bahujan Samaj Party
6,Mohan Kumar,11260,100,1.3%,Independent
7,Nafish Ahamad,10502,100,1.2%,Independent
8,Syed Irshad Akhtar,9123,100,1.1%,Independent
9,Ratan Kumar Sarkar,6474,91,0.8%,Independent
10,Anand Prasad,5818,88,0.7%,Independent
11,Sunil Kumar Rao,4940,88,0.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
12,Anand Kaushal Singh,4297,88,0.5%,Aam Aadmi Party
