Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rammohan Naidu Kinjarapu,556163,2245,52.9%,Telugu Desam
2,Reddy Shanthi,428591,2245,40.8%,Yuvajana Sramika Rythu Congress Party
3,Killi Kruparani,24163,78,2.3%,Indian National Congress
4,Paidi Raja Rao,11422,70,1.1%,Jai Samaikyandhra Party
5,Boddepalli Rajarao,8047,70,0.8%,Bahujan Samaj Party
6,Vasudeva Rao Boddu,5131,70,0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
7,Kadiyam Jayalakshmi,5021,70,0.5%,Pyramid Party Of India
8,Jaidev Injarapu,2557,70,0.2%,Aam Aadmi Party
9,Tota Tejeswara Rao,2144,70,0.2%,Independent
10,Kinjarapu Tejeswara Rao,2074,70,0.2%,Independent
