Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Kalraj Mishra,496500,400,51.1%,Bharatiya Janta Party
2,Niyaj Ahmad,231114,400,23.8%,Bahujan Samaj Party
3,Baleshwar Yadav,150852,400,15.5%,Samajwadi Party
4,Sabha Kunwar,37752,200,3.9%,Indian National Congress
5,Ram Pravesh,6408,200,0.7%,Bharatiya Ekta Dal
6,Hemant Kishor Srivastava,5763,200,0.6%,Independent
7,Raju,5406,200,0.6%,Moderate Party
8,Shyam Sundar,5130,200,0.5%,Peace Party
9,Aroon Kumar Tripathi,4952,200,0.5%,Aam Aadmi Party
10,Umesh,4343,200,0.4%,Suheldev Bhartiya Samaj Party
11,Barkha Kinnar,4124,200,0.4%,Independent
12,Ved Prakash Mall,1916,200,0.2%,Janata Dal (United)
13,Ram Preet,1906,200,0.2%,Most Backward Classes Of India
14,Intzarul,1833,200,0.2%,Bahujan Mukti Party
15,Awadh Kishor Nigam,1153,200,0.1%,Adarsh Rashtriya Vikas Party
