Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Chandrakasi M,429536,2168,39.5%,All India Anna Dravida Munnetra Kazhagam
2,Thirumaavalavan Thol,301041,2168,27.7%,Viduthalai Chiruthaigal Katchi
3,Sudhamanirathinem,279016,1544,25.6%,Pattali Makkal Katchi
4,Vallal Peruman P,28988,133,2.7%,Indian National Congress
5,Anandan Alias Kavignar Ananthamaalai S,8875,103,0.8%,Independent
6,Ezhumalai V,6824,103,0.6%,Akhil Bharat Hindu Mahasabha
7,Rajendran K,5179,103,0.5%,Bahujan Samaj Party
8,Rajkumar S,4896,103,0.4%,Independent
9,Thirusangu A,3370,103,0.3%,Independent
10,Pazhanivel P,1772,103,0.2%,Independent
11,Parvathi S,1543,103,0.1%,Independent
12,Pushparaj S,1523,103,0.1%,Independent
13,Senthamizhselvi K,1469,103,0.1%,Independent
14,Chandragasan N,1182,103,0.1%,Independent
15,Sanmugam A,1071,103,0.1%,Independent
