Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Santokh Singh Chaudhary,380479,6877,36.6%,Indian National Congress
2,Pawan Kumar Tinu,309498,6877,29.7%,Shiromani Akali Dal
3,Jyoti Mann,254121,2014,24.4%,Aam Aadmi Party
4,Sukhwinder Singh Kotli,46914,188,4.5%,Bahujan Samaj Party
5,Darshan Nahar,10074,131,1.0%,Independent
6,Tarsem Peter,6249,118,0.6%,Independent
7,Subhash Goria,3497,118,0.3%,Shiv Sena
8,Love Kishor,3265,118,0.3%,Independent
9,Dharminder,2459,118,0.2%,Independent
10,Tara Singh Gill,2268,118,0.2%,Bahujan Samaj Party (AMBEDKAR)
11,Nirmal Singh Bolina,2256,118,0.2%,Independent
12,Manjeet Kaur W/o Sukhdev Singh,1952,118,0.2%,Independent
13,Vijay Kumar,1528,118,0.1%,Independent
14,K.K. Sabharwal,1454,118,0.1%,Independent
15,Vijay Hans,1192,118,0.1%,Democratic Bharatiya Samaj Party
16,Jarnail Singh,1178,118,0.1%,Bharti Jan Suraksha Party
17,Jagan Nath Bajwa,1083,118,0.1%,Independent
18,Manjit Kaur W/o Sukhwinder Singh,1044,118,0.1%,Independent
19,Kuldip Kumar,953,118,0.1%,Independent
20,Kamal Thapar,933,118,0.1%,Independent
21,Amit Jassi,779,118,0.1%,Independent
22,Vivek,741,118,0.1%,Independent
23,Paramjit Kumar,717,118,0.1%,Bahujan Mukti Party
24,Ajay Kumar Bhagat,692,118,0.1%,Independent
