Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Khan Saumitra,578870,2244,45.5%,All India Trinamool Congress
2,Susmita Bauri,429185,2244,33.7%,Communist Party Of India (MARXIST)
3,Jayanta Mondal,179530,249,14.1%,Bharatiya Janta Party
4,Narayan Chandra Khan,27054,100,2.1%,Indian National Congress
5,Jagadananda Roy,10127,83,0.8%,Bahujan Samaj Party
6,Joydeb Bauri,7816,83,0.6%,Bahujan Mukti Party
7,Tarani Roy,6854,83,0.5%,Independent
8,Dinesh Lohar,6820,83,0.5%,Independent
9,Sadananda Mandal,4886,83,0.4%,Socialist Unity Centre Of India (COMMUNIST)
