Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Captain Amarinder Singh,482876,3325,47.9%,Indian National Congress
2,Arun Jaitley,380106,3325,37.7%,Bharatiya Janta Party
3,Dr. Daljit Singh,82633,154,8.2%,Aam Aadmi Party
4,Amarjit Singh Asal,12902,94,1.3%,Communist Party Of India
5,Arun Kumar Joshi,9023,84,0.9%,Independent
6,Pardeep Singh Walia,5870,84,0.6%,Bahujan Samaj Party
7,Rattan Singh Randhawa,4350,84,0.4%,Independent
8,Gagandeep Kumar,3294,84,0.3%,Independent
9,Dr. Inderpal,3083,84,0.3%,Independent
10,Bal Krishan Sharma,2878,84,0.3%,Independent
11,Sham Lal Gandhiwadi,2691,84,0.3%,Independent
12,Surinder Kumar Khosla,2396,84,0.2%,Independent
13,Bhagwant Singh,2303,84,0.2%,Independent
14,Kanwaljit Singh Sahota,2123,84,0.2%,Independent
15,Rehmat Masih,1214,84,0.1%,Independent
16,Amarinder Singh,1151,84,0.1%,Independent
17,Mohinder Singh,1140,84,0.1%,Independent
18,Buta Singh,941,84,0.1%,Bahujan Samaj Party (AMBEDKAR)
19,Yusaf Mohammad,922,84,0.1%,Samajwadi Party
20,Surinder Singh,833,84,0.1%,Democratic Congress Party
21,Balbir Singh,827,84,0.1%,Bharatiya Gaon Taj Dal
22,Gurdial Singh Gill,604,84,0.1%,Democratic Bharatiya Samaj Party
23,Krishan Sharma,503,84,0.0%,Nav Bharat Democratic Party
