Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Laxman Giluwa,303131,2337,38.1%,Bharatiya Janta Party
2,Geeta Kora,215607,2337,27.1%,Jai Bharat Samanta Party
3,Chitrasen Sinku,111796,398,14.1%,Indian National Congress
4,Dashrath Gagrai,35681,160,4.5%,Jharkhand Vikas Morcha (Prajatantrik)
5,Salkhan Murmu,25547,140,3.2%,Jharkhand Disom Party
6,John Miran Munda,16952,125,2.1%,All India Forward Bloc
7,Snehlata Jojo,12877,115,1.6%,Independent
8,Rajendra Purty,11507,115,1.4%,Jharkhand Party
9,Manohar Sinku,9303,115,1.2%,Bahujan Samaj Party
10,Rupsingh Hembrom,8895,115,1.1%,Independent
11,Naveen Murmu,8607,115,1.1%,Rashtriya Deshaj Party
12,Budhram Laguri,8346,115,1.0%,Bahujan Mukti Party
