Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vichare Rajan Baburao,595364,600,56.5%,Shiv Sena
2,Sanjeev Ganesh Naik,314065,600,29.8%,Nationalist Congress Party
3,Abhijit Ramesh Panse,48863,200,4.6%,Maharashtra Navnirman Sena
4,Sanjeev Vishnu Sane,41535,200,3.9%,Aam Aadmi Party
5,Kirtawade Vidhyadhar Bhimrao,10982,200,1.0%,Bahujan Samaj Party
6,Ashok Shankar Jadhav,4022,200,0.4%,Bahujan Mukti Party
7,Sohanlal Purohit,2479,200,0.2%,Independent
8,Gopinath Sakharam Mhaske,2412,200,0.2%,Bharipa Bahujan Mahasangh
9,Nitin Shankar Deshpande,2175,200,0.2%,Dharmarajya Paksha
10,Narendra Prabhashankar Pandey,2141,200,0.2%,Independent
11,Abhay Subrao Kulkarni,1891,200,0.2%,Independent
12,Shafik Ahamad Sadat Khan,1865,200,0.2%,Independent
13,Raju Shravan Chavan,1681,200,0.2%,Republican Bahujan Sena
14,Najakatali Kabir Ansari,1549,200,0.1%,Independent
15,Salman Ajimullah Hasmi,1402,200,0.1%,Rashtriya Aam Party
16,Qamruzzaman Kutubali Minai,1196,200,0.1%,Peace Party
17,Triloki Ghurahu Yadav,1066,200,0.1%,Independent
18,Sanjay Dilip Kumar Das,918,200,0.1%,Independent
19,Rajendra Gajbhiye,905,200,0.1%,Ambedkarite Party Of India
20,Shrinath Mithanthaya,891,200,0.1%,Hindustan Janata Party
21,Vishal Dinkar Salve,705,200,0.1%,Independent
22,Vinod Deepchand Gangwal,650,200,0.1%,Independent
23,Jain Surendrakumar K.,641,200,0.1%,Akhil Bharatiya Jan Sangh
24,Rathod Babusingh Vasram,636,200,0.1%,Maharashtra Parivartan Sena (T)
25,Ramchandra Bhagoji Gawade,493,200,0.0%,Independent
26,Bhanudas Dhotare,488,200,0.0%,Independent
