Position,Candidate Name,Votes,MinSample,Votes %,Party
1,R.Gopalakrishnan,454167,800,46.4%,All India Anna Dravida Munnetra Kazhagam
2,V Velusamy,256731,800,26.2%,Dravida Munetra Kazhagam
3,D Sivamuthu Kumar,147300,400,15.1%,Desiya Murpokku Dravida Kazhagam
4,T.N.Bharath Nachiappan,32143,200,3.3%,Indian National Congress
5,B.Vikraman,30108,200,3.1%,Communist Party Of India (MARXIST)
6,P.Gopalakrishnan,6337,200,0.6%,Independent
7,M.Kamacis,5423,200,0.6%,Aam Aadmi Party
8,V.Andichamy,4461,200,0.5%,Independent
9,M.Gopalakrishnan,2770,200,0.3%,Independent
10,V.G.Ramdoss,2745,200,0.3%,Independent
11,V.Karuppaiah,2039,200,0.2%,Independent
12,J.Manikandeswaran,1576,200,0.2%,Independent
13,K. Raja,1483,200,0.2%,Desiya Forward Bloc
14,A Thavamani,1255,200,0.1%,Bahujan Samaj Party
15,Bharathi Kannamma,1232,200,0.1%,Independent
16,P.Jeyakumar,985,200,0.1%,Independent
17,M.Mohammed Ali,904,200,0.1%,Samata Party
18,P.Chandrabose,728,200,0.1%,Independent
19,K.Thangapandi,666,200,0.1%,Independent
20,G.Maria Joseph Xaviour,568,200,0.1%,Independent
21,P.Ramasubramanian,565,200,0.1%,Independent
22,G.Kannan,555,200,0.1%,Independent
23,N Alagu Muthu Velayudam,487,200,0.0%,Independent
24,S.Arivudainambi,441,200,0.0%,Independent
25,K.K.Ramesh,432,200,0.0%,Independent
25,T.Ramasamy,432,200,0.0%,Independent
27,M.Meenakshisundaram,429,200,0.0%,Independent
28,A.Kannan,420,200,0.0%,Independent
29,M Venkatesan,394,200,0.0%,Independent
30,S.Ganesan,363,200,0.0%,Independent
31,S.Manickavasagam,341,200,0.0%,Independent
