Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Narendra Modi,845464,200,72.8%,Bharatiya Janta Party
2,Mistri Madhusudan Devram,275336,200,23.7%,Indian National Congress
3,Sunil Digambar Kulkarni,10101,200,0.9%,Aam Aadmi Party
4,Rohit Madhusudan Mohanbhai,5782,200,0.5%,Bahujan Samaj Party
5,Tapan Dasgupta,2249,200,0.2%,Socialist Unity Centre Of India (COMMUNIST)
6,Pathan Sahebkhan Asifkhan,2101,200,0.2%,Samajwadi Party
7,Jadav Ambalal Kanabhai,1382,200,0.1%,Janata Dal (United)
8,Pathan Mahemudkhan Razakkhan,1109,200,0.1%,Apna Desh Party
