Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ramen Deka,486357,95000,39.4%,Bharatiya Janta Party
2,Kirip Chaliha,463473,95000,37.6%,Indian National Congress
3,Sahadev Das,86347,400,7.0%,Bodaland Peoples Front
4,Paresh Baishya,74710,200,6.1%,All India United Democratic Front
5,Madhab Rajbangshi,66467,200,5.4%,Asom Gana Parisad
6,Shachindra Nath Brahma,12443,200,1.0%,Independent
7,Deba Kumar Barman,8341,200,0.7%,All India Trinamool Congress
8,Swarnalata Chaliha,7600,200,0.6%,Socialist Unity Centre Of India (COMMUNIST)
9,Sahnur Ali,5531,200,0.4%,Independent
10,Aroon Barooa,4164,200,0.3%,Regional Democratic Secular Congress
11,Ratul Kumar Choudhury,3658,200,0.3%,Samajwadi Party
12,Namrata Sarma,3424,200,0.3%,Aam Aadmi Party
