Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Kirit P Solanki,617104,400,64.0%,Bharatiya Janta Party
2,Ishwarbahi Dhanabhai Makwana,296793,400,30.8%,Indian National Congress
3,J J Mevada,17332,200,1.8%,Aam Aadmi Party
4,Chavda Mansukhbhai Nagarbhai,6205,200,0.6%,Bahujan Samaj Party
5,Solanki Vitthalbhai Maganbhai,2837,200,0.3%,Independent
6,Dr J G Parmar,2564,200,0.3%,Bahujan Mukti Party
7,Narendra Sankhaliya,1391,200,0.1%,Loktantrik Samajwadi Party
8,Solanki Rameshbhai Danabhai,1256,200,0.1%,Independent
9,Amrut Sonara,941,200,0.1%,Bahujan Suraksha Dal
10,Aayar Muljibhai Khanabhai,808,200,0.1%,Independent
11,Parmar Harjivanbhai Kalabhai,807,200,0.1%,Independent
