Position,Candidate Name,Votes,MinSample,Votes %,Party
1,(DR.) SANJEEV KUMAR BALYAN,653391,233,59.0%,Bharatiya Janta Party
2,Kadir Rana,252241,233,22.8%,Bahujan Samaj Party
3,Virender Singh,160810,146,14.5%,Samajwadi Party
4,Pankaj Agarwal,12937,63,1.2%,Indian National Congress
5,Rajesh Devi Alias Radhika Baliyan,4129,63,0.4%,All India Trinamool Congress
6,Rakesh,3482,63,0.3%,Independent
7,Phool Singh Pal,3431,63,0.3%,Independent
8,Anil Kumar,2238,63,0.2%,Bahujan Mukti Party
9,Mohammed Yamin,1931,63,0.2%,Aam Aadmi Party
10,Shandar Gufran,1864,63,0.2%,Independent
11,Gufran Ahmad,1682,63,0.2%,Independent
12,Jagbir Singh,845,63,0.1%,Independent
13,Naseem Ahmad Ansari,750,63,0.1%,Independent
14,Ankur,723,63,0.1%,Independent
15,Mo. Yamin,543,63,0.0%,All India Ravidas Samata Party
16,Lalit Chauhan,499,63,0.0%,Janata Dal (United)
17,Shabnam,487,63,0.0%,Independent
18,Mange Ram Kashyap,362,63,0.0%,Majdoor Kisan Union Party
19,Chatar Singh Kashyap,350,63,0.0%,Vanchit Jamat Party
