Position,Candidate Name,Votes,MinSample,Votes %,Party
1,S.S.Ahluwalia,488257,1000,42.8%,Bharatiya Janta Party
2,Bhai Chung Bhutia,291018,1000,25.5%,All India Trinamool Congress
3,Saman Pathak (SURAJ),167186,400,14.6%,Communist Party Of India (MARXIST)
4,Sujay Ghatak,90076,200,7.9%,Indian National Congress
5,Mahendra P. Lama,55767,200,4.9%,Independent
6,Rabindra Roy Basunia,6100,200,0.5%,Independent
7,Kakali Majumdar (ROY),6040,200,0.5%,Bahujan Samaj Party
8,Arun Kumar Agarwal,5449,200,0.5%,Independent
9,Goutam Bhattacharya,3993,200,0.3%,Socialist Unity Centre Of India (COMMUNIST)
10,Sunil Pandit,3043,200,0.3%,Rashtriya Janasachetan Party (R.J.P.)
11,Nima Lama,2906,200,0.3%,Gorkha Rashtriya Congress
12,Lalit Singha,2100,200,0.2%,Bahujan Mukti Party
13,Niranjan Saha,2029,200,0.2%,Amra Bangalee
