Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ashok Mahadeorao Nete,535982,562,52.2%,Bharatiya Janta Party
2,Dr. Namdeo Dalluji Usendi,299112,562,29.1%,Indian National Congress
3,Ramrao Govinda Nannaware,66906,109,6.5%,Bahujan Samaj Party
4,Dr. Gajbe Rameshkumar Baburaoji,45458,96,4.4%,Aam Aadmi Party
5,Namdeo Anandrao Kannake,22512,77,2.2%,Communist Party Of India
6,Satish Gokuldas Pendam,8156,70,0.8%,All India Trinamool Congress
7,Deorao Monba Nannaware,6606,70,0.6%,Ambedkarite Party Of India
8,Dandekar Baburao Laxman,6470,70,0.6%,Independent
9,Vinod Ankush Nannaware,4287,70,0.4%,Samajwadi Party
10,Diwakar Pendam (EX. SERVICEMAN),3730,70,0.4%,Bahujan Mukti Party
11,Adv. Prabhakar Mahaguji Dadmal,3422,70,0.3%,Republican Party Of India
