Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Subhash Patel,649354,800,56.3%,Bharatiya Janta Party
2,Ramesh Patel,391475,800,34.0%,Indian National Congress
3,Kailash Awasya,31222,200,2.7%,Aam Aadmi Party
4,Comrade Jyoti Gore,25930,200,2.2%,Communist Party Of India
5,Gaffar Noor Mo.,8553,200,0.7%,Independent
6,Gangaram Pratap Gawle,8544,200,0.7%,Aadijan Mukti Sena
7,Naharsingh Richhuji Barde,8266,200,0.7%,Bahujan Samaj Party
8,Kailash Patel,7040,200,0.6%,Independent
