Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Prahalad Singh Patel,513079,561,56.3%,Bharatiya Janta Party
2,Choudhary Mahendra Pratap Singh,299780,561,32.9%,Indian National Congress
3,Devendra Chaourasia,31519,76,3.5%,Bahujan Samaj Party
4,Divan Upendr Pratap Singh (RAJA SAB),16350,71,1.8%,Bhartiya Shakti Chetna Party
5,Santosh Bharti,11298,64,1.2%,Aam Aadmi Party
6,Prahlad Singh Lodi,9343,64,1.0%,Independent
7,Prahlad Singh Patel,9266,64,1.0%,Independent
8,Dr.Gulab Khan Master,3429,64,0.4%,Independent
9,Anant Lal Basor,2836,64,0.3%,Independent
10,Irfan Khan,2580,64,0.3%,Independent
