Position,Candidate Name,Votes,MinSample,Votes %,Party
1,B.B. Patil,508661,1803,46.5%,Telangana Rashtra Samithi
2,Suresh Kumar Shetkar,364030,1803,33.3%,Indian National Congress
3,K.Madan Mohan Rao,157497,245,14.4%,Telugu Desam
4,Marri Durgesh,18027,92,1.6%,Republican Party Of India (A)
5,Mahmood Mohiuddin,12383,84,1.1%,Yuvajana Sramika Rythu Congress Party
6,Syed Ferozuddin,8180,81,0.7%,Bahujan Samaj Party
7,Benjamin Raju,4804,81,0.4%,Independent
8,Rama Rao,4426,81,0.4%,Independent
9,Dr. Suneel Kumar Chowdhary,3285,81,0.3%,Aam Aadmi Party
10,Tandale Ambaji Rao,2323,81,0.2%,Independent
