Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Gopalakrishnan C.,463700,2377,49.7%,All India Anna Dravida Munnetra Kazhagam
2,Raja A.,358760,2377,38.4%,Dravida Munetra Kazhagam
3,Gandhi P.,37702,92,4.0%,Indian National Congress
4,Rani M.T.,12525,79,1.3%,Aam Aadmi Party
5,Kala M.,3377,71,0.4%,Bahujan Samaj Party
6,Ponnusamy P.,2733,71,0.3%,Communist Party Of India (Marxist-Leninist) Red Star
7,Dr.Balan P.P.,2704,71,0.3%,Independent
8,Subramaniyam P.,1711,71,0.2%,Independent
9,Eswaran T.,1655,71,0.2%,Makkal Manadu Katchi
10,Gunasekaran K.,1650,71,0.2%,Republican Party Of India (A)
