Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Dharam Vira Gandhi,365671,88650,32.6%,Aam Aadmi Party
2,Preneet Kaur,344729,88650,30.8%,Indian National Congress
3,Deepinder Singh Dhillon,340109,60233,30.3%,Shiromani Akali Dal
4,Bibi Kamaldeep Kaur Rajoana,15313,159,1.4%,Independent
5,Ram Singh Dhiman,13014,147,1.2%,Bahujan Samaj Party
6,Nirmal Singh Dhaliwal,8537,147,0.8%,Communist Party Of India
7,Parvesh Bhateja,4915,132,0.4%,Independent
8,Parveen Kumar,4089,132,0.4%,Independent
9,Mohinder Pal Singh,2773,132,0.2%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
10,Ramisher Singh Billa,2625,132,0.2%,Independent
11,Gurpreet Singh,2378,132,0.2%,Bahujan Samaj Party (AMBEDKAR)
12,Harish Kumar,2325,132,0.2%,Shiv Sena
13,Gurbhej Singh,2217,132,0.2%,Independent
14,Ranjit Kaur,2178,132,0.2%,Bharatiya Gaon Taj Dal
15,Rajinder Singh Pawar,1625,132,0.1%,Independent
16,Dharam Pal,1271,132,0.1%,Independent
17,Randhir Singh,1234,132,0.1%,Bahujan Mukti Party
18,Ravinder Singh,1177,132,0.1%,Bharatiya Sant Mat Party
19,Amrik Singh,936,132,0.1%,New All India Congress Party
20,Lakhwinder Singh Malhi,809,132,0.1%,Independent
