Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dimple Yadav,489164,104452,43.9%,Samajwadi Party
2,Subrat Pathak,469257,104452,42.1%,Bharatiya Janta Party
3,Nirmal Tiwari,127785,225,11.5%,Bahujan Samaj Party
4,Rakesh Kumar Tiwari Advocate,5723,89,0.5%,Independent
5,Imran Bin Zafar,4826,89,0.4%,Aam Aadmi Party
6,Muhar Singh Amvadi,2891,89,0.3%,Independent
7,Sanjay Shakya,2567,89,0.2%,Independent
8,Ganga Charan,1282,89,0.1%,Rashtriya Kranti Party
9,Pradeep Kumar,964,89,0.1%,Independent
10,Subodh Kumar,927,89,0.1%,Peace Party
11,Surendra Nath,888,89,0.1%,Bahujan Mukti Party
12,Pushpa Devi,806,89,0.1%,Bhartiya Shakti Chetna Party
