Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rakesh Singh,564609,800,56.3%,Bharatiya Janta Party
2,Vivek Krishna Tankha,355970,800,35.5%,Indian National Congress
3,Aftab Alam,16008,200,1.6%,Bahujan Samaj Party
4,Captain Hanfee Veer Chakra,15977,200,1.6%,Aam Aadmi Party
5,Mohd. Adil,9053,200,0.9%,Indian Union Muslim League
6,Virendra Kumar Sharma,7164,200,0.7%,Independent
7,Vinay Kumar Jain,6400,200,0.6%,Independent
8,Manak Lal Gontiya,4261,200,0.4%,Ambedkarite Party Of India
9,Naveen Jain (YOGACHARYA),2990,200,0.3%,Independent
10,Vikrant,2797,200,0.3%,Independent
11,Lal Dash,2234,200,0.2%,Gondvana Gantantra Party
12,Dr. Dhai Akshar (RAKESH SONKAR),2007,200,0.2%,Independent
13,Digvijay Singh (SENIOR JOURNLIST),1852,200,0.2%,Bhartiya Shakti Chetna Party
14,Malkhan Patel,1562,200,0.2%,Independent
15,Er. Pravin Gajbhiye Dada,1412,200,0.1%,Bahujan Mukti Party
