Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dharmendra Kumar,409907,1600,41.2%,Bharatiya Janta Party
2,Kunwar Sarvraj Singh,271478,1600,27.3%,Samajwadi Party
3,Sunita Shakya,190200,600,19.1%,Bahujan Samaj Party
4,Saleem Iqbal Shervani,93861,400,9.4%,Indian National Congress
5,Yogendra Kumar Verma,4332,200,0.4%,Akhil Bharat Hindu Mahasabha
6,Arshadurraza Khan,3019,200,0.3%,Independent
7,Captain P.C. Sharma,2711,200,0.3%,Jawan Kisan Morcha
8,Irshad Ansari Advocate,2697,200,0.3%,Peace Party
9,Naresh Singh Solanki,2304,200,0.2%,Aam Aadmi Party
10,Mohd. Zarrar Khan,1440,200,0.1%,Bharatiya Naujawan Inklav Party
11,Pramod Kumar Yadav,1189,200,0.1%,Bhartiya Krishak Dal
12,Om Veer,1152,200,0.1%,Bhartiya Vikas Party
13,Jitendra Singh Yadav,855,200,0.1%,Naitik Party
