Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Ashwini Kumar Choubey,319012,1218,35.9%,Bharatiya Janta Party
2,Jagadanand Singh,186674,1218,21.0%,Rashtriya Janata Dal
3,Dadan Yadav,184788,1183,20.8%,Bahujan Samaj Party
4,Shyam Lal Singh Kushwaha,117012,455,13.2%,Janata Dal (United)
5,Indu Singh,13051,130,1.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
6,Sheo Gopal Choudhary,12422,130,1.4%,Independent
7,Sweta Pathak,7879,130,0.9%,Aam Aadmi Party
8,Mokarram Hussain,7514,130,0.8%,Suheldev Bhartiya Samaj Party
9,Pradeep Kumar Prasad,6901,116,0.8%,Pragatisheel Manav Samaj Party
10,Narendra Pratap Singh,6130,116,0.7%,Independent
11,Lallan Rupnarain Pathak,5294,116,0.6%,Independent
12,Shio Kumar Sharma,3437,116,0.4%,Janvadi Party(Socialist)
13,Rajendra Kumar Singh Chouhan,2740,116,0.3%,Bharat Vikas Morcha
14,Tafir Hussian,2241,116,0.3%,Hindustan Vikas Dal
15,Parshuram Prasad,2066,116,0.2%,Bahujan Mukti Party
16,Monibur Rahman,1864,116,0.2%,Janta Dal Rashtravadi
