Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Chhedi Paswan,366087,5800,43.2%,Bharatiya Janta Party
2,Meira Kumar,302760,5800,35.8%,Indian National Congress
3,Karra Parasu Ramaiah,93310,400,11.0%,Janata Dal (United)
4,Baleshwar Bharti,31528,200,3.7%,Bahujan Samaj Party
5,Geeta Arya,11005,200,1.3%,Aam Aadmi Party
6,Tetri Devi,7486,200,0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
7,Surendra Ram,6144,200,0.7%,Independent
8,Rajnarain Rao,4395,200,0.5%,Independent
9,Ravikant Chaudhary,3980,200,0.5%,Independent
10,Saroj Ram,3906,200,0.5%,Bahujan Mukti Party
11,Nand Lal Ram,2808,200,0.3%,Independent
