Position,Candidate Name,Votes,MinSample,Votes %,Party
1,B. Sreeramulu,534406,5200,51.1%,Bharatiya Janta Party
2,N.Y. Hanumantappa,449262,5200,43.0%,Indian National Congress
3,R. Ravinayaka,12613,200,1.2%,Janata Dal (Secular)
4,A. Devdas,8486,200,0.8%,Socialist Unity Centre Of India (COMMUNIST)
5,Malagi Shivakumar Giriyappa,6038,200,0.6%,Aam Aadmi Party
6,N.R. Mallayya Swamy,5206,200,0.5%,Independent
7,B. Ramudu (ADDIGERI RAMANNA),4557,200,0.4%,Bahujan Samaj Party
8,N.B. Krishnappa Nayaka,3888,200,0.4%,Independent
9,K. Raghavendra,3501,200,0.3%,Pyramid Party Of India
10,Doddamani Prasad,2456,200,0.2%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Comrade S. Bheemappa,2042,200,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
12,G. Nataraja,1997,200,0.2%,Karunaadu Party
