Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Adhikari Sisir Kumar,676749,987,52.4%,All India Trinamool Congress
2,Sinha Tapas,447259,987,34.6%,Communist Party Of India (MARXIST)
3,Kamalendu Pahari,111082,122,8.6%,Bharatiya Janta Party
4,Kunal Banerjee,27230,76,2.1%,Indian National Congress
5,Ansar Ali Sk,8298,69,0.6%,Bahujan Samaj Party
6,Manas Pradhan,7335,69,0.6%,Socialist Unity Centre Of India (COMMUNIST)
7,Sk Golam Nabi Ajad,3260,69,0.3%,Independent
