Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Faggan Singh Kulaste,585720,4000,48.1%,Bharatiya Janta Party
2,Omkar Singh Markam,475251,4000,39.0%,Indian National Congress
3,Anuj Ganga Singh Patta,56572,200,4.6%,Gondvana Gantantra Party
4,Shambhu Singh Maravi,21266,200,1.7%,Bahujan Samaj Party
5,Inder Singh Uikey,11930,200,1.0%,Ambedkarite Party Of India
6,Khuman Singh Armo,11548,200,0.9%,Aam Aadmi Party
7,Ghanshyam Kudape,11265,200,0.9%,Independent
8,Mahatalal Barkade,6724,200,0.6%,National People's Party
9,Phool Singh Dhurwey,4980,200,0.4%,Chhattisgarh Swabhiman Manch
10,Baishakhoo Maravi,4956,200,0.4%,Bhartiya Satya Sangharsh Party
