Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rajesh Kumar Diwaker,544277,298,51.9%,Bharatiya Janta Party
2,Manoj Kumar Soni,217891,298,20.8%,Bahujan Samaj Party
3,Ramji Lal Suman,180891,225,17.2%,Samajwadi Party
4,Niranjan Singh Dhangar,86109,125,8.2%,Rashtriya Lok Dal
5,Sunhari Lal,5043,71,0.5%,Aam Aadmi Party
6,Niranjan Singh,2847,71,0.3%,Independent
7,Omprkash,2778,71,0.3%,Independent
8,Raja Ram,2169,71,0.2%,Independent
9,Dalvir Singh,1599,71,0.2%,Independent
