Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Sushma Swaraj,714348,400,66.5%,Bharatiya Janta Party
2,Lakshman Singh,303650,400,28.3%,Indian National Congress
3,Kamlesh Sallam,10824,200,1.0%,Gondvana Gantantra Party
4,Amar Singh Patel,9699,200,0.9%,Bahujan Samaj Party
5,Chandresh Singh,5359,200,0.5%,Independent
6,Engineear Bhagwat Singh Rajput,5204,200,0.5%,Aam Aadmi Party
7,Ramdayal Kori,4159,200,0.4%,Independent
8,Manoj Kumar Yadav,3293,200,0.3%,Samajwadi Party
9,Shoiab Khan,2200,200,0.2%,Prajatantrik Samadhan Party
10,Ganesh Rajak,1761,200,0.2%,Samata Party
11,Narmada Prashad Ahirwar,1270,200,0.1%,Bahujan Mukti Party
12,Babulal,1088,200,0.1%,Samata Samadhan Party
