Position,Candidate Name,Votes,MinSample,Votes %,Party
1,C. N. Jayadevan,389209,19594,42.3%,Communist Party Of India
2,K. P. Dhanapalan,350982,19594,38.1%,Indian National Congress
3,K.P. Sreesan,102681,246,11.2%,Bharatiya Janta Party
4,Sarah Joseph,44638,148,4.8%,Aam Aadmi Party
5,Sufeera K. P.,6894,94,0.7%,Social Democratic Party Of India
6,T. L. Santhosh,6044,94,0.7%,Independent
7,Jasminsha,3959,94,0.4%,Independent
8,Adv. A. Jayaram,2110,94,0.2%,Bahujan Samaj Party
9,Maniyangattil Sukumaran,949,94,0.1%,Independent
10,K.Sivaraman,718,94,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
11,Haji Moideen Shah,659,94,0.1%,Janata Dal (United)
12,M. Narayanankutty (M. N. KUTTY),616,94,0.1%,Independent
13,Soman Pillai,546,94,0.1%,Indian Gandhiyan Party
14,Jiju Cheenikkal,450,94,0.0%,Independent
