Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Mohite Patil Vijaysinh Shankarrao,489989,65000,45.4%,Nationalist Congress Party
2,Sadabhau Ramchandra Khot,464645,65000,43.0%,Swabhimani Paksha
3,Mohite-Patil Pratapsinh Shankarrao,25187,200,2.3%,Independent
4,Bansode Kundan Fulchand,15790,200,1.5%,Bahujan Samaj Party
5,Navanath Bhimrao Patil,8853,200,0.8%,Hindusthan Praja Paksha
6,Nagamani Kisan Jakkan,8829,200,0.8%,Independent
7,Adv. Savita Balkrishna Shinde,7160,200,0.7%,Aam Aadmi Party
8,Jadhav Sunil Gunda,7115,200,0.7%,Independent
9,Rohit Ramrushna More,6886,200,0.6%,Independent
10,Bhajanlal Yashvant Nimgaonkar,4625,200,0.4%,Independent
11,Baliram Sukhdev More,4139,200,0.4%,Independent
12,Sathi Bashir Ahmed Bashamiyan Shaikh,3367,200,0.3%,Independent
13,Adv.Subhash Balasaheb Patil (ANNA),3293,200,0.3%,Bahujan Mukti Party
14,Dr.Bhise Indrakumar Devrao,3094,200,0.3%,Independent
15,Pol Sudhir Arjun,2814,200,0.3%,Independent
16,Sunita Mohan Tupsoundrya,2522,200,0.2%,Independent
17,Shaikh Shahajan Paigambar,2336,200,0.2%,Independent
18,Prafull Shivrao Kadam,2301,200,0.2%,Independent
19,Devkate Somanath Alias Someshwar Chandrakant,2275,200,0.2%,Independent
20,Jagtap Nitin Maruti,2189,200,0.2%,Independent
21,Dagadu Manik Pawar,2117,200,0.2%,Independent
22,Suresh Shamrao Ghadge,1989,200,0.2%,All India Trinamool Congress
23,Walke Vikram Vasudeo,1969,200,0.2%,Independent
24,Dr.Pramod Ramchandra Gawade,1926,200,0.2%,Independent
