Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Yellaiah Nandi,420075,131800,37.9%,Indian National Congress
2,Dr. Manda Jagannath,403399,131800,36.4%,Telangana Rashtra Samithi
3,Bakkani Narsimlu,183352,600,16.5%,Telugu Desam
4,Buddula Srinivas,54680,200,4.9%,Independent
5,Maredu Gopal,22985,200,2.1%,Yuvajana Sramika Rythu Congress Party
6,Bahadhur Srinivas,12089,200,1.1%,Bahujan Samaj Party
