Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Jasvantsinh Sumanbhai Bhabhor,511111,600,56.8%,Bharatiya Janta Party
2,Taviyad Dr. Prabhaben Kishorsinh,280757,600,31.2%,Indian National Congress
3,Katara Singajibhai Jaljibhai,28958,200,3.2%,Communist Party Of India (MARXIST)
4,Bhura Navalabhai Manabhai,11244,200,1.2%,Independent
5,Bamaniya Jyotishkumar Bapubhai,11233,200,1.2%,Bahujan Samaj Party
6,Kumari Induben Nathubhai Sangada,6838,200,0.8%,Independent
7,Meda Jagdishbhai Manilal,5078,200,0.6%,Bharatiya National Janta Dal
8,K.C.Munia Advocate,4849,200,0.5%,Aam Aadmi Party
9,Bhabhor Mavjibhai Titubhai,4167,200,0.5%,Samajwadi Party
10,Ramsingbhai Nanjibhai Kalara,3841,200,0.4%,Janata Dal (United)
