Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Adhikari Suvendu,716928,940,53.6%,All India Trinamool Congress
2,Sekh Ibrahim Ali,470447,940,35.2%,Communist Party Of India (MARXIST)
3,Badsha Alam,86265,102,6.4%,Bharatiya Janta Party
4,Anwar Ali Sk,29645,76,2.2%,Indian National Congress
5,Bibekananda Ray,10197,69,0.8%,Socialist Unity Centre Of India (COMMUNIST)
6,Rajyashree Chaudhuri,3609,69,0.3%,Independent
7,Kamal Bag,3110,69,0.2%,Bahujan Samaj Party
8,Kalisankar Jana,2658,69,0.2%,Independent
9,Abdur Rezak Sk,1682,69,0.1%,Independent
10,Manik Chandra Mondal,1500,69,0.1%,Indian Union Muslim League
