Position,Candidate Name,Votes,MinSample,Votes %,Party
1,J.C. Divakar Reddi,606509,13549,50.3%,Telugu Desam
2,Anantha Venkataramireddy,545240,13549,45.2%,Yuvajana Sramika Rythu Congress Party
3,Anil Chowdary. P,16659,83,1.4%,Indian National Congress
4,T.Kuldeep Chowdary,6517,75,0.5%,Samaikya Telugu Rajyam
5,Kasani Nagaraju,6201,75,0.5%,Bahujan Samaj Party
6,Shaik. Mohammad Shafi.,3018,75,0.3%,Independent
7,Boya Anil Kumar,2779,75,0.2%,Jai Samaikyandhra Party
8,D. Somanath,2263,75,0.2%,Independent
9,Pavan Kumar,2070,75,0.2%,Pyramid Party Of India
10,B. Srinivasulu,1589,75,0.1%,Independent
11,Buzireddy Venugopal Reddy,1381,75,0.1%,Indian Christian Secular Party
12,G. Nagaraju,1086,75,0.1%,Independent
13,G. Lalitha,944,75,0.1%,Socialist Unity Centre Of India (COMMUNIST)
