Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Vinayak Bhaurao Raut,493088,1200,55.0%,Shiv Sena
2,Nilesh Narayan Rane,343037,1200,38.3%,Indian National Congress
3,Ayare Rajendra Lahu,13088,200,1.5%,Bahujan Samaj Party
4,Abhijit Shriram Hegshetye,12700,200,1.4%,Aam Aadmi Party
5,Sunil Alias Yashwant Vasant Pednekar,7328,200,0.8%,Independent
6,Arun Harishchandra Manjrekar,5999,200,0.7%,Independent
7,Adv. Dipak Dattaram Nevgi,2904,200,0.3%,Socialist Party (India)
8,Ajinkya Dhondu Gawade,2332,200,0.3%,Independent
9,Birje Yashwant Anant,1992,200,0.2%,Bahujan Mukti Party
10,Vinod Hanumantrao Sawant,1395,200,0.2%,Akhil Bharat Hindu Mahasabha
