Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Arka Keshari Deo,370871,11800,33.2%,Biju Janata Dal
2,Pradipta Kumar Naik,314524,11800,28.1%,Bharatiya Janta Party
3,Bhakta Charan Das,307967,9400,27.6%,Indian National Congress
4,Siba Hati,18869,200,1.7%,Samajwadi Party
5,Saroj Kumar Naik,14115,200,1.3%,Bahujan Samaj Party
6,Rajendra Kumar Mund,10839,200,1.0%,Independent
7,Daitary Pradhan,8698,200,0.8%,Aama Odisha Party
8,Bighna Raj Panda,8600,200,0.8%,Samruddha Odisha
9,Chhabilal Nial,8299,200,0.7%,Ambedkarite Party Of India
10,Sunil Chandra Nayak,7329,200,0.7%,Odisha Jan Morcha
11,Satya Narayan Mahar,6360,200,0.6%,Aam Aadmi Party
12,Sahadev Jal,5858,200,0.5%,Bahujan Mukti Party
13,Baikuntha Dhangada Majhi,5007,200,0.4%,Kalinga Sena
14,Balaram Hota,4885,200,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
15,Parameswar Kand,4435,200,0.4%,Samata Kranti Dal
