Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dr. Nepal Singh,358616,53663,37.5%,Bharatiya Janta Party
2,Naseer Ahmad Khan,335181,53663,35.0%,Samajwadi Party
3,Nawab Kazim Ali Khan,156466,562,16.4%,Indian National Congress
4,Akbar Husain,81006,252,8.5%,Bahujan Samaj Party
5,Jannat Nisha,4473,109,0.5%,All India Minorities Front
6,Jagmohan,2505,109,0.3%,Independent
7,Naved Mian,2448,109,0.3%,Independent
8,Vijendra Singh,2079,109,0.2%,Rashtriya Congress (Babu Jagjivanram)
9,Tejpal Singh,2063,109,0.2%,Independent
10,Syed Salman Ali,1996,109,0.2%,Aam Aadmi Party
11,Jagdish Saran Sagar,1834,109,0.2%,Independent
12,Akbar Masood,817,109,0.1%,Independent
