Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Rahul Ramesh Shewale,381275,996,49.6%,Shiv Sena
2,Eknath M. Gaikwad,242933,996,31.6%,Indian National Congress
3,Aditya Rajan Shirodkar,73113,154,9.5%,Maharashtra Navnirman Sena
4,Sundar Balakrishnan,27715,100,3.6%,Aam Aadmi Party
5,Adv.Aiyyar Ganesh,14762,88,1.9%,Bahujan Samaj Party
6,Abbas Hussain Shaikh,5575,78,0.7%,Samajwadi Party
7,Noor Mohammad Saheb Raja Khan,1588,78,0.2%,Independent
8,Hussain Akbar Sayyed,1430,78,0.2%,Bahujan Mukti Party
9,Dilip Gaikwad,1338,78,0.2%,Independent
10,Moin Sohail Sayyed,1212,78,0.2%,Independent
11,Namdev Sahebrao Sable,1184,78,0.2%,Independent
12,Adv.Vaishali Surendra Borde,1083,78,0.1%,Independent
13,Aslam Hanif Khot,1018,78,0.1%,Peace Party
14,Sanghapal Hirachand Gadekar,919,78,0.1%,Ambedkarite Party Of India
14,Mahendra Tulshiram Bhingardive,919,78,0.1%,Independent
16,Clifford Martis,800,78,0.1%,Independent
17,Mr. Nadar Selvakumar Perimbraj,686,78,0.1%,Independent
18,Khan Siraj Ahmed,545,78,0.1%,Independent
19,Ganesh Bhimrao Budhe,514,78,0.1%,Independent
20,Pal Jitendra Kumar,453,78,0.1%,Independent
21,Shinde Sarjerao Mahadev,418,78,0.1%,Independent
