Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Prathap Simha,503908,46800,43.5%,Bharatiya Janta Party
2,Adagooru H Vishwanath,472300,46800,40.7%,Indian National Congress
3,Chandrashekaraiah,138587,400,12.0%,Janata Dal (Secular)
4,C Mohan Kumar,13637,200,1.2%,Bahujan Samaj Party
5,Padmamma M V,5650,200,0.5%,Aam Aadmi Party
6,Rathi Poovaiah,3726,200,0.3%,Karunaadu Party
7,Sampathu N,2078,200,0.2%,Independent
8,Bojanna N Somaiah,2032,200,0.2%,Independent
9,Thimme Gowda,1516,200,0.1%,Sarva Janata Party
10,Praveen M S,1439,200,0.1%,Independent
11,Hunsur K Chandrashekar,1342,200,0.1%,Democratic Prajakranthi Party Secularist
12,D Eswar Thoremavu,1246,200,0.1%,Independent
13,Bannur Kumar,1215,200,0.1%,Independent
14,S P Mahadevappa,1016,200,0.1%,Janata Dal (United)
15,D S Nirvanappa,978,200,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
