Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Satyapal Singh,360242,619000,34.1%,Bharatiya Janta Party
2,Dr Shafiq- Ur Rahman Barq,355068,619000,33.6%,Samajwadi Party
3,Aqeel-Ur -Rehman Khan,252640,2800,23.9%,Bahujan Samaj Party
4,Dharam Yadav Urf D.P.Yadav,36134,200,3.4%,Rashtriya Parivartan Dal
5,Acharya Pramod Krishnam,16034,200,1.5%,Indian National Congress
6,Nutan Vijay Advocate,6686,200,0.6%,Independent
7,Dr. Rashid Ali,6376,200,0.6%,Peace Party
8,Mohd Aslam Urf Pasha,3833,200,0.4%,Republican Party Of India (A)
9,Firoz Haider,3648,200,0.3%,Independent
10,Rashid,2791,200,0.3%,Independent
11,Nanad Ram Khadagvanshi,2322,200,0.2%,Independent
12,Aqeel Ahmad,2005,200,0.2%,Independent
13,Rekha Devi Yadav,1565,200,0.1%,Sanyukt Samajwadi Dal
