Position,Candidate Name,Votes,MinSample,Votes %,Party
1,Dinesh Trivedi,479206,800,45.6%,All India Trinamool Congress
2,Subhashini Ali,272433,800,25.9%,Communist Party Of India (MARXIST)
3,Rumesh Kumar Handa,230401,600,21.9%,Bharatiya Janta Party
4,Samrat Topadar,30491,200,2.9%,Indian National Congress
5,Tapas Sarkar,5458,200,0.5%,Bahujan Samaj Party
6,Dina Shankar Singh,5036,200,0.5%,Independent
7,Omprakash Rajbhar,4416,200,0.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
8,Om Prakash Shaw,3555,200,0.3%,Independent
9,Girish Chandra Singh,3132,200,0.3%,Independent
10,Pradip Chaudhuri,2200,200,0.2%,Socialist Unity Centre Of India (COMMUNIST)
11,Sharmistha Choudhury,2036,200,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
12,Mihir Biswas,1787,200,0.2%,Aam Aadmi Party
