x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ashok Kumar Singh,8331,"62,897",39.5%,Janata Dal (United),
2,2,Pramod Kumar Singh,8331,"53,372",33.5%,Lok Jan Shakti Party,
3,3,Alauddin Mohammad,196,"11,530",7.2%,Bahujan Samaj Party,
4,4,Ashok Saw,136,"5,607",3.5%,Independent,
5,5,Niraj Kumar,118,"3,687",2.3%,Independent,
6,6,Vishal Kumar Singh,118,"3,395",2.1%,Independent,
7,7,Aqueel Akhatar Ansari,118,"3,260",2.1%,Garib Janta Dal (Secular),
8,8,Kasim,118,"3,161",2.0%,Communist Party Of India,
9,9,Tulsi Yadav,118,"3,078",1.9%,Independent,
10,10,Arjun Yadav,111,"1,543",1.0%,Independent,
11,11,Suresh Mehta,98,"1,442",0.9%,Jan Adhikar Party (Loktantrik),
12,12,Usha Devi,98,"1,260",0.8%,Shoshit Samaj Dal,
13,13,Suresh Vishwkarma,98,"1,240",0.8%,Akhil Hind Forward Block,
14,14,Pramod Kumar,98,832,0.5%,Pragatisheel Magahi Samaj,
15,15,Manhar Gunjan,98,765,0.5%,Samajwadi Party,
16,16,Dharmendra Kumar Singh,98,749,0.5%,Bahujan Mukti Party,
