x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ramdeo Rai,600,"73,983",45.8%,Indian National Congress,
2,2,Arvind Kumar Singh,600,"37,052",23.0%,Lok Jan Shakti Party,
3,3,Abdhesh Kumar Roy,400,"28,539",17.7%,Communist Party Of India,
4,4,Subhash Kumar Ishwar,200,"7,296",4.5%,Independent,
5,5,Binay Kumar Singh,200,"4,944",3.1%,Independent,
6,6,Srimati Kundan Singh,200,"1,816",1.1%,Jammu & Kashmir National Panthers Party,
7,7,Shweta Suman Yadav,200,"1,460",0.9%,Jan Adhikar Party (Loktantrik),
8,8,Chandeshwar Paswan,200,"1,335",0.8%,Independent,
9,9,Naresh Paswan,200,905,0.6%,Bahujan Mukti Party,
10,10,Ashok Sah,200,799,0.5%,Independent,
