x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Raj Kumar Sah,2335,"80,842",45.9%,Lok Jan Shakti Party,
2,2,Vijay Kumar Shukla,2335,"60,549",34.4%,Janata Dal (United),
3,3,Shailendra Kumar Kaushik,119,"8,236",4.7%,Independent,
4,4,Ram Pravesh Pandit,106,"5,264",3.0%,Independent,
5,5,Sanjeev Ranjan,91,"3,596",2.0%,Independent,
6,6,Sudhir Kumar Singh,91,"2,538",1.4%,Independent,
7,7,Indu Bhushan Singh,91,"2,382",1.4%,Communist Party Of India,
8,8,Rajeev Kumar Choudhary,83,"1,660",0.9%,Rashtravadi Janata Party,
9,9,Anil Kumar,83,"1,481",0.8%,Bahujan Mukti Party,
10,10,Manoj Kumar,83,"1,400",0.8%,Independent,
11,11,Mahendra Ram,83,"1,358",0.8%,Bahujan Samaj Party,
12,12,Chandan Kumar Kushwaha,83,"1,337",0.8%,Independent,
13,13,Suraj Kumar Singh,83,955,0.5%,Independent,
14,14,Umesh Das Akantak,83,912,0.5%,Sathi Aur Aapka Faisala Party,
15,15,Ramashankar Sahni,83,795,0.5%,Sarvajan Kalyan Loktantrik Party,
16,16,Bikiya Devi,83,782,0.4%,Garib Janshakti Party,
17,17,Kedarnath Prasad,83,480,0.3%,Samajwadi Party,
