x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Faisal Rahman,2838,"87,458",47.0%,Rashtriya Janata Dal,
2,2,Pawan Kumar Jaiswal,2838,"68,261",36.7%,Bharatiya Janta Party,
3,3,Ram Pukar Sinha,171,"20,160",10.8%,Independent,
4,4,Nek Mohammad,76,"1,868",1.0%,Nationalist Congress Party,
5,5,Manjur Ahmad,76,"1,637",0.9%,Independent,
6,6,Ramkrit Paswan,76,"1,434",0.8%,Bahujan Samaj Party,
7,7,Veerchandra Prasad,76,985,0.5%,Rashtriya Pragati Party,
8,8,Prabhu Narain,76,952,0.5%,Independent,
9,9,Mohmmad Alam,76,480,0.3%,Garib Janta Dal (Secular),
10,10,Anil Kumar Mehata,76,431,0.2%,Independent,
