x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Rabindra Yadav,1600,"65,537",40.0%,Bharatiya Janta Party,
2,2,Damodar Rawat,1600,"43,451",26.6%,Janata Dal (United),
3,3,Binod Pd. Yadav,400,"20,745",12.7%,Independent,
4,4,Avid Kausar,200,"11,444",7.0%,Bahujan Samaj Party,
5,5,Sheo Shankar Singh,200,"5,281",3.2%,Communist Party Of India (MARXIST),
6,6,Sanjay Kumar Sinha,200,"3,522",2.2%,Independent,
7,7,Surya Vats,200,"3,017",1.8%,Independent,
8,8,Amarjeet Kumar Singh,200,"1,071",0.7%,National People's Party,
9,9,Vijay Ram,200,981,0.6%,Independent,
10,10,Umashankar Bhagat,200,959,0.6%,Vyabasayi Kisan Alpasankhyak Morcha,
11,11,Md. Ziaul Haque Ansari,200,921,0.6%,Janta Dal Rashtravadi,
12,12,Murari Prasad,200,880,0.5%,Independent,
13,13,Kailash Gosai,200,787,0.5%,Loksena,
14,14,Makasud Ansari,200,737,0.5%,Bharatiya Momin Front,
