x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Gulab Yadav,140574,"64,320",40.7%,Rashtriya Janata Dal,
2,2,Nitish Mishra,140574,"63,486",40.2%,Bharatiya Janta Party,
3,3,Sunil Kumar Jha,144,"7,022",4.5%,Independent,
4,4,Ram Narayan Yadav,125,"4,531",2.9%,Communist Party Of India,
5,5,Sada Nand Suman,125,"4,237",2.7%,Independent,
6,6,Om Prakash,115,"3,309",2.1%,Independent,
7,7,Ram Narayan Mahto,108,"2,639",1.7%,Independent,
8,8,Md. Hasnaian,108,"1,593",1.0%,Independent,
9,9,Rajesh Kumar Jha,96,"1,195",0.8%,Independent,
10,10,Mohammad Manjur Alam,96,929,0.6%,Independent,
11,11,Awdesh Kumar Shing,96,597,0.4%,Independent,
12,12,Ram Bharos Paswan,96,574,0.4%,Bahujan Samaj Party,
13,13,Ganapati Jha,96,535,0.3%,Samajwadi Party,
14,14,Mustafa Kamal,96,435,0.3%,Rashtriya Samanta Dal,
15,15,Rajeev Kumar,96,423,0.3%,Aarakshan Virodhi Party,
16,16,Pawan Kumar Mishra,96,380,0.2%,Akhil Bharat Hindu Mahasabha,
17,17,Dhirendra Kumar Kamat,96,348,0.2%,Samajwadi Janata Dal Democratic,
18,18,Navin Kumar Ram,96,317,0.2%,The National Road Map Party Of India,
