x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Ravi  Jyoti Kumar,21747,"62,009",41.8%,Janata Dal (United),
2,2,Satydeo Narain Arya,21747,"56,619",38.1%,Bharatiya Janta Party,
3,3,Amit Kumar Paswan,119,"4,668",3.1%,Communist Party Of India,
4,4,Parmeshwar Prasad,119,"4,574",3.1%,Communist Party Of India (MARXIST),
5,5,Surendra Kumar Arya,112,"3,676",2.5%,Maanavvaadi Janta Party,
6,6,Sunil Ravidas,112,"3,099",2.1%,Jharkhand Mukti Morcha,
7,7,Geeta Devi,112,"2,901",2.0%,Independent,
8,8,Mosafir Das,93,"1,436",1.0%,Bahujan Samaj Party,
9,9,Shambhu Kumar,93,"1,342",0.9%,Shiv Sena,
10,10,Nandu Rajbanshi,93,"1,300",0.9%,Akhil Hind Forward Block,
11,11,Sabo Devi,93,"1,113",0.8%,Independent,
12,12,Kismat Ram,93,"1,107",0.8%,Independent,
13,13,Shivnath Kumar Nirala,93,893,0.6%,Samajwadi Party,
14,14,Uday Chaudhary,93,823,0.6%,Independent,
15,15,Mahesh Paswan,93,621,0.4%,Bharat Bhrashtachar Mitao Party,
16,16,Nehru Paswan,93,492,0.3%,Bharatiya Inqalab Party,
17,17,Mamta Kumari,93,445,0.3%,Samras Samaj Party,
