x,Position,Candidate Name,MinSample,Votes,Votes %,Party,AC
1,1,Mohammad Iliyas Hussain,32403,"49,402",33.9%,Rashtriya Janata Dal,
2,2,Jitendra Kumar @ Rinku Soni,32403,"45,504",31.2%,Rashtriya Lok Samta Party,
3,3,Pradeep Kumar Joshi,1298,"29,541",20.3%,Rashtra Sewa Dal,
4,4,Ashok Kumar Singh,138,"2,197",1.5%,Communist Party Of India (Marxist-Leninist) (Liberation),
5,5,Santosh Kumar Pandey,129,"2,154",1.5%,Bahujan Samaj Party,
6,6,Raju Kumar,129,"2,146",1.5%,Independent,
7,7,Dr.(PROF.) RAJ KUMAR,129,"1,730",1.2%,Independent,
8,8,Braj Mohan Singh,129,"1,723",1.2%,Communist Party Of India,
9,9,Upendra Singh Shakati,129,"1,529",1.1%,Samajwadi Party,
10,10,Muneshwar Gupta,129,"1,280",0.9%,Independent,
11,11,Jaglal Yadav,115,"1,149",0.8%,Shiv Sena,
12,12,Bipin Bihari Singh,115,935,0.6%,Garib Janta Dal (Secular),
13,13,Kamal Kishor Pal,115,725,0.5%,Independent,
14,14,Ram Govind Dhar Dubey,115,677,0.5%,Independent,
15,15,Narendra Kumar Maurya,115,505,0.4%,Independent,
